Mean1,STD1,SKW1,KUR1,Mean2,STD2,SKW2,KUR2,Mean3,STD3,SKW3,KUR3,Mean4,STD4,SKW4,KUR4,Mean5,STD5,SKW5,KUR5,Mean6,STD6,SKW6,KUR6,Mean7,STD7,SKW7,KUR7,Mean8,STD8,SKW8,KUR8,Mean9,STD9,SKW9,KUR9,Mean10,STD10,SKW10,KUR10,Mean11,STD11,SKW11,KUR11,Mean12,STD12,SKW12,KUR12,Mean13,STD13,SKW13,KUR13,Mean14,STD14,SKW14,KUR14,Mean15,STD15,SKW15,KUR15,Mean16,STD16,SKW16,KUR16,Mean17,STD17,SKW17,KUR17,Label
-0.012292602,0.081529588,0.003023093,2.683620691,-0.021572754,0.082894459,0.022205977,2.722643852,-0.021288574,0.081713229,0.014879951,2.698999166,-0.005351563,0.083994374,0.001835867,2.700882912,0.008768555,0.08043655,0.009851939,2.661995173,-0.009614746,0.078830808,0.024748249,2.584787369,-0.01322998,0.080954157,0.009019998,2.677668333,-0.013804687,0.082003169,0.008553595,2.642488241,-0.013379394,0.078583881,0.002962127,2.615403414,-0.013614258,0.081487924,-0.01344443,2.716667175,-0.012650879,0.079756208,-0.002176027,2.627143621,-0.013837891,0.08243306,0.01484047,2.762010098,-0.013682129,0.083490983,-0.012068084,2.735709429,-0.013942871,0.081815004,0.000452097,2.720692635,-0.012502441,0.082392335,-0.017118186,2.686220407,-0.012896973,0.079357289,-0.023219252,2.559020758,-0.014081054,0.079924472,0.01531272,2.64269805,M3
-0.013161896,0.081045844,0.001796997,2.712918758,-0.012705566,0.081155956,0.003982454,2.661541462,-0.012873535,0.080192268,0.010818012,2.657783031,-0.013182129,0.082477517,0.014290246,2.728449345,-0.013783203,0.07938128,-0.005663032,2.630244493,-0.013936523,0.080901317,0.01715995,2.741588593,-0.012574219,0.083056152,-0.005616323,2.861713648,-0.013700196,0.079374976,-0.016437396,2.658330917,-0.013502929,0.083321035,-0.00850737,2.758086443,-0.012298828,0.079048961,-0.00464025,2.617059469,-0.013583008,0.081160262,0.004182179,2.709661961,-0.012998047,0.082945339,0.029481521,2.758601189,-0.013563965,0.080057405,-0.025791405,2.66159749,-0.013368164,0.081858359,0.017301159,2.732814789,-0.012716797,0.079233944,0.003714554,2.613081217,-0.012816895,0.079920985,0.005357101,2.684137583,-0.012986328,0.082457408,-0.014183794,2.80779624,M3
-0.020824188,0.085793644,-0.122606456,3.004343748,-0.013697266,0.080808267,-0.019608177,2.675729036,-0.013302734,0.083360381,0.051997293,2.79348278,-0.013802246,0.080625832,-0.021771796,2.658611774,-0.012930664,0.079827197,0.027669312,2.701028347,-0.014037598,0.084219962,-0.008499545,2.812586308,-0.012786621,0.080997907,-0.013541292,2.637839079,-0.012990722,0.083318025,0.017099706,2.7878232,-0.01279834,0.081090227,-0.002438208,2.691269398,-0.013955078,0.079471081,0.030535027,2.642848492,-0.013169434,0.081469879,8.68E-05,2.663267612,-0.07926514,0.10825149,0.033013456,3.111397028,-0.066395506,0.086680956,-0.034537915,2.760782719,-0.019055665,0.079579845,-0.001475865,2.646329403,-0.011608887,0.078116342,0.020041073,2.628468513,-0.012187012,0.082706146,0.020282187,2.752714396,-0.011204101,0.080518708,-0.001518562,2.640808582,M3
-0.01310791,0.080995038,0.001862736,2.683199167,-0.01263916,0.082264923,0.01425516,2.680374384,-0.013399414,0.080886021,0.024655819,2.69507432,-0.012710937,0.079664201,-0.002089576,2.636425018,-0.012896973,0.083077833,-0.002284695,2.741981506,-0.012631836,0.081855595,-0.014788454,2.643586636,-0.013700196,0.081419684,0.009268409,2.672499895,-0.012439453,0.079922311,-0.007103676,2.626168251,-0.012764649,0.078425281,0.017547555,2.587738037,-0.01403125,0.081710666,-0.001887581,2.681192398,-0.013252442,0.080363683,-0.018865908,2.700969219,-0.012680664,0.08132872,0.010132961,2.731183529,-0.013620117,0.081964649,-0.00698159,2.759084702,-0.013457031,0.078475669,-0.006001815,2.591660738,-0.01305957,0.082113914,0.018342946,2.734417915,-0.013063964,0.082919948,0.004026346,2.722777128,-0.013378906,0.07934498,-0.00936038,2.625259399,M3
-0.013246338,0.080361299,0.005882521,2.665142536,-0.013092773,0.081371054,0.013275937,2.633452654,-0.013808594,0.078551255,0.023708317,2.61106205,-0.012848144,0.079877734,0.013160404,2.618562937,-0.013683106,0.080264889,0.007950259,2.597298622,-0.013290039,0.078161985,0.019885948,2.626127958,-0.012940918,0.081612416,-0.017984228,2.688441277,-0.01315625,0.078309596,0.019355744,2.644535065,-0.013442871,0.080677196,0.020601446,2.71611619,-0.013513183,0.083038084,0.017969234,2.68650651,-0.013128906,0.080137976,0.015377945,2.629247189,-0.012652832,0.08188317,-0.010184409,2.680022478,-0.013078613,0.079690203,-0.026186002,2.645802975,-0.013799804,0.080735855,-0.007929049,2.731687069,-0.013520996,0.082668066,-0.009811629,2.759214163,-0.013656738,0.078939714,0.010871338,2.615749359,-0.012327637,0.079678543,0.008641474,2.670037985,M3
-0.013910919,0.195105076,1.031070113,19.15571213,-0.013071777,0.078562953,0.018449221,2.572032213,-0.013966797,0.07976494,-0.009076615,2.627944946,0.167312503,0.669517219,-0.393595576,2.172250986,-0.173933104,0.0978029,0.277135342,3.052276611,-0.059047364,0.08435452,-0.009697168,2.727041483,-0.00915332,0.079226434,0.006684868,2.683169127,-0.009465332,0.0793617,0.022530127,2.690808058,-0.011006836,0.083917134,-0.009963454,2.839341879,-0.011237305,0.081094831,0.020213002,2.693917751,-0.012388184,0.080223605,0.017916312,2.639689684,-0.012362793,0.080843933,-0.010812588,2.686170101,-0.012840332,0.079096258,-0.010604341,2.624709368,-0.012861328,0.080982015,0.016475841,2.739413738,-0.013058593,0.079207063,0.000740733,2.632509232,-0.013118164,0.079260066,0.015718726,2.641072273,-0.012375977,0.08081796,-0.023165258,2.713100672,M3
-0.013408386,0.080848366,-0.007456336,2.687917233,-0.01305957,0.079630978,-0.007303101,2.631967068,-0.013562988,0.083314218,-0.009639676,2.734307766,-0.013648437,0.08096619,-0.021983679,2.713636398,-0.013121094,0.079613626,0.01280982,2.632099628,-0.012704589,0.081888154,0.002910242,2.657806396,-0.013269043,0.080231555,0.011970138,2.663800716,-0.014441406,0.083827518,0.017439181,2.806276798,-0.013053223,0.080509551,-0.014411753,2.689710617,-0.014072753,0.078938246,-0.01548898,2.5879879,-0.01312793,0.081585526,-0.031539619,2.678395987,-0.012825196,0.078754902,-0.010636533,2.654760599,-0.013727051,0.081263348,0.004158629,2.697478056,-0.013714355,0.081487037,-0.019875664,2.672672987,-0.013591797,0.079417251,-0.003470981,2.604517937,-0.013032227,0.082463287,-0.012824227,2.768034697,-0.013582519,0.079482473,-0.02068555,2.701610327,M3
-0.019928802,0.194475621,1.437474132,17.74760818,-0.013077637,0.08311452,-0.018063927,2.674657345,-0.01361084,0.081696004,-0.001687183,2.671617031,-0.012632324,0.078791045,-0.018905198,2.62762475,-0.012719726,0.081817053,0.013287065,2.660970926,-0.013992676,0.079674594,-0.007205334,2.651478291,-0.013289062,0.081284292,0.018441748,2.726287365,-0.012650879,0.080936991,-0.012961489,2.652249336,-0.013423828,0.079037569,-0.007766845,2.599321365,-0.013180176,0.081637189,0.000364253,2.666095495,-0.013421875,0.082288504,0.002752612,2.66096735,0.167443842,0.627407849,-0.127166227,2.149049997,-0.277536124,0.122285083,0.040584136,2.543029785,-0.053036131,0.084329873,-0.043717969,2.755314589,-0.009292481,0.082044713,0.015424514,2.729221821,-0.005496582,0.083498865,0.001877879,2.768267393,-0.008944336,0.081324331,0.024867831,2.656095505,M3
-0.012595002,0.081122801,0.003956358,2.702584982,-0.009380371,0.082433969,-0.024612946,2.748494148,-0.011006348,0.078363553,0.006400862,2.614486456,-0.011560547,0.079839975,0.003491192,2.585856676,-0.011791504,0.08019238,-8.26191E-05,2.611473322,-0.013327149,0.080214538,-0.003795276,2.659521103,-0.012456543,0.082180642,-0.007230922,2.728688717,-0.012174805,0.079059556,-0.001354281,2.636496544,-0.013331543,0.08072646,0.018274471,2.734999418,-0.013353027,0.082128249,0.021515025,2.783853769,-0.012649414,0.080176689,0.034530852,2.716481209,-0.014076171,0.083574101,0.011934827,2.815368176,-0.013075195,0.080809638,-0.015021356,2.649383545,-0.013362793,0.081604846,-0.019430073,2.70819211,-0.01332666,0.083102256,0.017379718,2.726792097,-0.013020996,0.080518082,0.004920155,2.66317749,-0.013626954,0.082742117,0.024008861,2.747195721,M3
-0.013216126,0.080711402,0.013433235,2.690737724,-0.012987304,0.079687811,0.021184649,2.619346619,-0.013452637,0.079865649,-0.001572277,2.663289547,-0.013154785,0.082733184,-0.023744844,2.665004492,-0.013015625,0.078427546,-0.007974207,2.674339771,-0.013155273,0.082915574,0.054751474,2.779543161,-0.013381348,0.079907097,0.001490642,2.636880159,-0.013504883,0.079857275,0.018159654,2.622049093,-0.013509765,0.083888702,0.024936667,2.77257514,-0.012961426,0.08047571,0.020610629,2.697655201,-0.013648437,0.08137621,0.006941555,2.758856058,-0.01328125,0.081075363,0.004081163,2.676099062,-0.013321778,0.079093888,0.015397438,2.614692211,-0.013352539,0.080696493,0.01619233,2.646918058,-0.012741211,0.079337128,0.015412312,2.588793039,-0.012407226,0.08129663,0.029630212,2.773922682,-0.013582519,0.080571555,0.016421571,2.75672698,M3
